Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
250,637764,244969,103774,275458,171917,85868,74912,4528620,895867,134552,37279,632174,211459,862766,85445,4267706,293014,6684806,64977,5723389,4544208
500,686806,286817,108826,216791,163089,68322,70041,13354598,291522,137578,47915,1721868,246615,2442362,101021,11136101,222781,18657550,67382,16450067,13428630
750,683145,361574,126621,222862,155858,67697,70400,23343621,298251,131969,38205,10700901,219967,5032715,103438,23348595,418632,31169887,62002,27413919,22425016
1000,685472,318985,132723,224697,170537,64208,68451,24856345,310373,138022,30946,18688647,203002,6984908,100740,34520968,134622,42655351,177026,37600125,31318628
1250,707790,319070,133763,213982,164315,60844,66320,29941000,279682,129736,39565,29536665,208640,8983784,107211,34120762,722459,56550401,50785,52274890,41752891
1500,774657,333095,147259,214279,167272,61147,68627,53515288,317575,134624,43774,38753654,203993,10980359,93847,43564486,104221,60498630,47792,62683581,49240789
1750,790033,339376,160325,221762,170913,60251,67807,55889622,306141,139995,45105,41908824,203065,12587098,100921,56160158,104241,82675942,58682,67726148,52449073
2000,743861,337883,143592,226510,170167,62328,69404,51624000,355245,146228,44393,16938019,205116,13926864,111423,56801371,117640,82705180,56032,81264320,63859347
2250,737883,351043,125035,249845,189404,68150,69365,60339816,350093,146781,42655,8952147,203157,16252185,98621,67134664,1209564,125865049,52002,106865337,74373107
2500,768929,353223,146697,224531,159170,64350,70765,73218584,346812,129850,39813,10408103,194233,19075781,96596,72894485,107083,155396126,50670,137308391,85885749
2750,839603,345353,164084,210134,161293,63440,66668,79079091,331951,120028,32639,11245542,196216,21985765,94182,83220906,117951,149842866,46091,123786264,97232233
3000,778185,362064,158531,219884,162070,65918,64858,113265010,281475,117170,42503,12182111,183615,23694814,91711,103291539,129767,165462872,40122,120408166,105489704
3250,762984,359043,138620,218336,163001,63252,64276,105599932,410776,118515,46071,12993901,412098,25683995,109578,124513912,101099,177787204,52432,157561450,117722685
3500,759581,356713,131386,216122,164271,71081,64381,127757405,249244,120286,31902,21849614,187819,27974168,102703,128573943,100283,174323263,51180,175822802,129121167
3750,772218,367012,151742,224417,165393,65805,63423,121772004,311020,128476,33298,26720406,188099,29918888,100065,138280133,106001,169793644,54245,198892722,119498660
4000,849423,354997,163082,222608,164856,64417,64466,136790987,262990,134788,34012,17514101,194155,27021653,95345,142182705,109610,185789769,45037,210699411,153747032
4250,789329,362178,136743,213431,167525,66471,63879,153302454,271872,163899,26869,25648206,191096,28616850,108718,152441152,2724800,231438832,42719,198705420,208066513
4500,772850,379183,131512,223264,162164,67641,63512,165215772,293315,158391,30653,17546297,189867,28878191,96968,187582055,150553,226500184,41765,206630948,211601016
4750,789786,403860,145224,225478,174318,66027,68259,172709122,261264,245839,32556,25265100,185335,41584190,92507,219371274,137380,223506536,42925,240607376,190116216
5000,800220,396997,153493,224049,180906,57509,64288,354318157,269121,171469,32592,20925108,187781,39268097,92722,195337578,143050,239299359,37343,254422874,158825262
5250,12332,6235,1340,2054,232534,1000,540,1423251